branch,bus,ptdf,sensitivity,wind_MW,wind_farms
1021-2121-1,4981,-0.014839702863057285,-0.014839702863057285,17.73,3
1021-2121-1,4991,-0.009042188217786717,-0.009042188217786717,63.25,10
1021-2121-1,5001,-0.02713601356036962,-0.02713601356036962,7.65,1
1021-2121-1,5081,-0.018861293108571032,-0.018861293108571032,105.0,1
1021-2121-1,5191,-0.009964439938475483,-0.009964439938475483,29.9,1
1021-2121-1,5221,-0.07568324231380698,-0.07568324231380698,31.0,3
1021-2121-1,5241,-0.020087211931239368,-0.020087211931239368,19.2,1
1021-2121-1,5261,0.024372382860138708,0.024372382860138708,26.5,7
1021-2121-1,5271,0.06008073185581445,0.06008073185581445,59.08,3
1021-2121-1,5274,0.06005419260807963,0.06005419260807963,115.08,3
1021-2121-1,5281,0.024349340388152046,0.024349340388152046,47.56,6
1021-2121-1,5301,0.014641824363792825,0.014641824363792825,41.8,5
1021-2121-1,5341,-0.018285633793919925,-0.018285633793919925,12.040000000000001,3
1021-2121-1,5361,-0.009042188217787,-0.009042188217787,44.69,6
1021-2121-1,5381,0.04869539457751523,0.04869539457751523,4.6,2
1021-2121-1,5441,0.015401933281406896,0.015401933281406896,18.53,3
1021-2121-1,5501,0.010473852460589244,0.010473852460589244,38.9,3
1021-2121-1,6201,0.017260052550473304,0.017260052550473304,156.84,2
1021-2121-1,6931,0.02288999245079099,0.02288999245079099,20.0,1
1021-2121-1,11261,0.004951518542014334,0.004951518542014334,800.0,1
1021-2121-1,11310,0.005726630514851119,0.005726630514851119,23.15,1
1021-2121-1,14010,-0.02482315420355441,-0.02482315420355441,33.9,1
1021-2121-1,14013,-0.024823154203554403,-0.024823154203554403,172.0,2
1021-2121-1,14016,-0.02482315420355417,-0.02482315420355417,50.0,1
1021-2121-1,14720,-0.0017836354418126951,-0.0017836354418126951,500.0,1
1021-2121-1,17010,-0.011116159754190622,-0.011116159754190622,55.0,2
1021-2121-1,17420,0.00045629471375286876,0.00045629471375286876,824.0,1
1021-2121-1,20900,-0.04120166011641539,-0.04120166011641539,109.2,2
1021-2121-1,22811,-0.03447448078614796,-0.03447448078614796,2.55,1
1021-2121-1,23610,-0.20147776335416023,-0.20147776335416023,72.39,2
1021-2121-1,28810,0.014044983575971368,0.014044983575971368,40.8,3
1021-2121-1,32060,0.026834813938805536,0.026834813938805536,450.0,1
1021-2121-1,36210,0.014641824363785437,0.014641824363785437,59.0,2
1021-2121-1,36411,0.00853811595138797,0.00853811595138797,60.162,9
1021-2121-1,39420,0.0033748426784671083,0.0033748426784671083,450.0,1
1021-2121-1,44731,-0.0017354745461828501,-0.0017354745461828501,483.0,1
1021-2121-1,44732,-0.00028674628617857785,-0.00028674628617857785,483.0,1
1021-2121-1,44733,-0.00028674628617853307,-0.00028674628617853307,483.0,1
1021-2121-1,51911,-0.010256586287851385,-0.010256586287851385,139.2,2
1021-2121-1,52610,0.005726630514858068,0.005726630514858068,46.3,3
1021-2121-1,66094,-0.017714681512066493,-0.017714681512066493,58.0,1
1021-2121-1,66096,0.08537071443825109,0.08537071443825109,84.0,1
1021-2121-1,66123,-0.004036265163801757,-0.004036265163801757,370.0,2
1021-2121-1,68090,0.022889992450790236,0.022889992450790236,34.0,1
1021-2121-1,70010,-0.00658517511599918,-0.00658517511599918,82.5,4
1021-2121-1,71011,-0.004547667697851895,-0.004547667697851895,50.15,3
1021-2121-1,73500,-0.00476752233575585,-0.00476752233575585,47.5,1
1021-2121-1,74011,-0.0044841508804669885,-0.0044841508804669885,13.8,1
1021-2121-1,75010,-0.005000799194265083,-0.005000799194265083,103.0,4
