outage,hour,islanding,kind,n_over,worst_branch,worst_kind,over_MW,worst_pct,wind_avail_MW,eir_cleared,eir_mw,eir_nodes,eir_new_overloads,eir_new_MW,eir_worsened,eir_resid_MW,eir_worst_new_pct,eir_max_load_pct,ovl_cleared,ovl_mw,ovl_nodes,ovl_new_overloads,ovl_new_MW,ovl_worsened,ovl_resid_MW,ovl_worst_new_pct,ovl_max_load_pct,veto_cleared,veto_mw,veto_nodes,veto_new_overloads,veto_new_MW,veto_worsened,veto_resid_MW,veto_worst_new_pct,veto_max_load_pct,lp_cleared,lp_mw,lp_nodes,lp_new_overloads,lp_new_MW,lp_worsened,lp_resid_MW,lp_worst_new_pct,lp_max_load_pct,lp_feasible
1131-2131-1,137,True,Line,2,2781-4951-1,Line,0.297,100.14,5053.5,1,0.131,15,0,0.0,0,0.0,0.0,100.1,1,0.11,2,0,0.0,0,0.0,0.0,100.1,0,0.057,1,0,0.0,0,0.144,0.0,100.12,1,0.109,2,0,0.0,0,0.0,0.0,100.1,1
1131-2131-1,159,True,Line,1,3581-89516-1,Line,0.144,100.12,5313.0,1,0.071,25,0,0.0,0,0.0,0.0,100.1,1,0.041,1,0,0.0,0,0.0,0.0,100.1,1,0.041,1,0,0.0,0,0.0,0.0,100.1,1,0.041,1,0,0.0,0,0.0,0.0,100.1,1
1131-11310-1,137,True,Line,1,2781-4951-1,Line,0.123,100.12,5053.5,1,0.021,4,0,0.0,0,0.0,0.0,100.1,1,0.021,1,0,0.0,0,0.0,0.0,100.1,1,0.021,1,0,0.0,0,0.0,0.0,100.1,1,0.021,1,0,0.0,0,0.0,0.0,100.1,1
1131-31911-1,7,True,Line,1,3581-89516-1,Line,0.431,100.35,6073.6,1,0.815,16,0,0.0,0,0.0,0.0,100.1,1,0.61,1,0,0.0,0,0.0,0.0,100.1,1,0.61,1,0,0.0,0,0.0,0.0,100.1,1,0.61,1,0,0.0,0,0.0,0.0,100.1,1
1131-31911-1,50,True,Line,1,3581-89516-1,Line,0.37,100.3,5312.4,1,1.241,26,0,0.0,0,0.0,0.0,100.1,1,0.489,1,0,0.0,0,0.0,0.0,100.1,1,0.489,1,0,0.0,0,0.0,0.0,100.1,1,0.489,1,0,0.0,0,0.0,0.0,100.1,1
1131-31911-1,58,True,Line,1,3581-89516-1,Line,0.275,100.22,4583.8,1,0.746,26,0,0.0,0,0.0,0.0,100.1,1,0.301,1,0,0.0,0,0.0,0.0,100.1,1,0.301,1,0,0.0,0,0.0,0.0,100.1,1,0.301,1,0,0.0,0,0.0,0.0,100.1,1
1131-31911-1,65,True,Line,1,3581-89516-1,Line,0.267,100.22,5388.6,1,0.973,22,0,0.0,0,0.0,0.0,100.1,1,0.303,1,0,0.0,0,0.0,0.0,100.1,1,0.303,1,0,0.0,0,0.0,0.0,100.1,1,0.303,1,0,0.0,0,0.0,0.0,100.1,1
1131-31911-1,72,True,Line,1,3581-89516-1,Line,0.288,100.23,5745.9,1,1.013,19,0,0.0,0,0.0,0.0,100.1,1,0.408,1,0,0.0,0,0.0,0.0,100.1,1,0.408,1,0,0.0,0,0.0,0.0,100.1,1,0.408,1,0,0.0,0,0.0,0.0,100.1,1
1131-31911-1,94,True,Line,1,3581-89516-1,Line,0.184,100.15,5470.0,1,0.255,26,0,0.0,0,0.0,0.0,100.1,1,0.121,1,0,0.0,0,0.0,0.0,100.1,1,0.121,1,0,0.0,0,0.0,0.0,100.1,1,0.121,1,0,0.0,0,0.0,0.0,100.1,1
1131-31911-1,108,True,Line,1,3581-89516-1,Line,0.261,100.21,7006.9,1,0.646,20,0,0.0,0,0.0,0.0,100.1,1,0.273,1,0,0.0,0,0.0,0.0,100.1,1,0.273,1,0,0.0,0,0.0,0.0,100.1,1,0.273,1,0,0.0,0,0.0,0.0,100.1,1
1131-31911-1,123,True,Line,1,3581-89516-1,Line,0.429,100.35,5593.8,1,0.813,13,0,0.0,0,0.0,0.0,100.1,1,0.606,1,0,0.0,0,0.0,0.0,100.1,1,0.606,1,0,0.0,0,0.0,0.0,100.1,1,0.606,1,0,0.0,0,0.0,0.0,100.1,1
1131-31911-1,137,True,Line,2,2781-4951-1,Line,0.897,100.43,5053.5,0,1.519,15,0,0.0,0,0.112,0.0,100.11,1,1.207,3,0,0.0,0,0.0,0.0,100.1,0,0.436,1,0,0.0,0,0.432,0.0,100.35,1,1.207,2,0,0.0,0,0.0,0.0,100.1,1
1131-31911-1,145,True,Line,1,3581-89516-1,Line,0.39,100.32,4124.9,1,1.029,26,0,0.0,0,0.0,0.0,100.1,1,0.528,1,0,0.0,0,0.0,0.0,100.1,1,0.528,1,0,0.0,0,0.0,0.0,100.1,1,0.528,1,0,0.0,0,0.0,0.0,100.1,1
1131-31911-1,152,True,Line,1,3581-89516-1,Line,0.365,100.3,4161.2,1,0.848,25,0,0.0,0,0.0,0.0,100.1,1,0.478,1,0,0.0,0,0.0,0.0,100.1,1,0.478,1,0,0.0,0,0.0,0.0,100.1,1,0.478,1,0,0.0,0,0.0,0.0,100.1,1
1131-31911-1,159,True,Line,1,3581-89516-1,Line,0.261,100.21,5313.0,1,0.477,25,0,0.0,0,0.0,0.0,100.1,1,0.274,1,0,0.0,0,0.0,0.0,100.1,1,0.274,1,0,0.0,0,0.0,0.0,100.1,1,0.274,1,0,0.0,0,0.0,0.0,100.1,1
1131-31911-1,167,True,Line,1,3581-89516-1,Line,0.399,100.32,3161.9,1,0.876,26,0,0.0,0,0.0,0.0,100.1,1,0.546,1,0,0.0,0,0.0,0.0,100.1,1,0.546,1,0,0.0,0,0.0,0.0,100.1,1,0.546,1,0,0.0,0,0.0,0.0,100.1,1
