outage,hour,islanding,kind,n_over,worst_branch,worst_kind,over_MW,worst_pct,wind_avail_MW,eir_cleared,eir_mw,eir_nodes,eir_new_overloads,eir_new_MW,eir_worsened,eir_resid_MW,eir_worst_new_pct,eir_max_load_pct,ovl_cleared,ovl_mw,ovl_nodes,ovl_new_overloads,ovl_new_MW,ovl_worsened,ovl_resid_MW,ovl_worst_new_pct,ovl_max_load_pct,veto_cleared,veto_mw,veto_nodes,veto_new_overloads,veto_new_MW,veto_worsened,veto_resid_MW,veto_worst_new_pct,veto_max_load_pct,lp_cleared,lp_mw,lp_nodes,lp_new_overloads,lp_new_MW,lp_worsened,lp_resid_MW,lp_worst_new_pct,lp_max_load_pct,lp_feasible
1071-4941-1,108,False,Line,3,T3464-3462-34641-1-w2,Transformer,10.451,100.99,7006.9,1,34.06,63,0,0.0,0,0.0,0.0,100.1,1,62.521,2,0,0.0,0,0.0,0.0,100.1,1,62.521,2,0,0.0,0,0.0,0.0,100.1,1,24.184,2,0,0.0,0,0.0,0.0,100.1,1
1071-4941-1,159,False,Line,2,T3464-3462-34641-1-w2,Transformer,10.526,101.05,5313.0,1,35.23,55,0,0.0,0,0.0,0.0,100.1,1,25.477,1,0,0.0,0,0.0,0.0,100.1,1,25.477,1,0,0.0,0,0.0,0.0,100.1,1,25.477,1,0,0.0,0,0.0,0.0,100.1,1
1121-1301-1,36,False,Line,1,1122-1742-1,Line,8.655,101.69,6805.4,1,30.677,32,0,0.0,0,0.0,0.0,100.1,1,13.344,1,0,0.0,0,0.0,0.0,100.1,1,13.344,1,0,0.0,0,0.0,0.0,100.1,1,13.344,1,0,0.0,0,0.0,0.0,100.1,1
1121-1301-1,50,False,Line,2,1122-1742-1,Line,84.85,116.51,5312.4,0,340.203,60,0,0.0,0,0.893,0.0,100.17,1,140.822,2,0,0.0,0,0.0,0.0,100.1,0,0.0,0,0,0.0,0,84.85,0.0,116.51,1,140.82,3,0,0.0,0,0.0,0.0,100.1,1
1121-1301-1,65,False,Line,2,1122-1742-1,Line,40.159,107.8,5388.6,0,153.73,56,0,0.0,0,0.742,0.0,100.14,1,66.18,2,0,0.0,0,0.0,0.0,100.1,0,0.0,0,0,0.0,0,40.159,0.0,107.8,1,66.178,2,0,0.0,0,0.0,0.0,100.1,1
1121-1301-1,72,False,Line,1,3581-89516-1,Line,0.129,100.1,5745.9,1,0.035,19,0,0.0,0,0.0,0.0,100.1,1,0.014,1,0,0.0,0,0.0,0.0,100.1,1,0.014,1,0,0.0,0,0.0,0.0,100.1,1,0.014,1,0,0.0,0,0.0,0.0,100.1,1
1121-1301-1,101,False,Line,3,1122-1742-1,Line,41.583,106.95,5965.5,1,131.954,27,0,0.0,0,0.0,0.0,100.1,1,78.712,2,0,0.0,0,0.0,0.0,100.1,0,192.631,7,0,0.0,0,12.973,0.0,102.53,1,78.667,2,0,0.0,0,0.0,0.0,100.1,1
1121-1301-1,108,False,Line,4,1122-1742-1,Line,34.163,105.45,7006.9,0,115.752,52,0,0.0,0,0.628,0.0,100.12,1,616.788,6,0,0.0,0,0.0,0.0,100.1,0,52.348,2,0,0.0,0,27.378,0.0,105.34,1,66.105,3,0,0.0,0,0.0,0.0,100.1,1
1121-1301-1,159,False,Line,2,T3464-3462-34641-1-w2,Transformer,3.712,100.37,5313.0,1,10.175,55,1,0.131,0,0.0,100.11,100.11,1,7.294,1,1,0.124,0,0.0,100.1,100.1,1,7.476,2,0,0.0,0,0.0,0.0,100.1,1,7.296,2,0,0.0,0,0.0,0.0,100.1,1
1121-4321-1,108,False,Line,2,T3464-3462-34641-1-w2,Transformer,2.018,100.2,7006.9,1,3.921,55,0,0.0,0,0.0,0.0,100.1,1,2.739,1,0,0.0,0,0.0,0.0,100.1,1,2.739,1,0,0.0,0,0.0,0.0,100.1,1,2.739,1,0,0.0,0,0.0,0.0,100.1,1
1122-1742-1,36,False,Line,2,1121-1301-1,Line,164.984,156.99,6805.4,1,458.794,12,0,0.0,0,0.0,0.0,100.1,1,324.647,2,0,0.0,0,0.0,0.0,100.1,1,324.647,2,0,0.0,0,0.0,0.0,100.1,1,324.647,2,0,0.0,0,0.0,0.0,100.1,1
1122-1742-1,50,False,Line,6,1121-1301-1,Line,284.404,179.31,5312.4,0,729.89,93,1,1.039,0,1.168,100.83,100.83,1,612.935,6,1,0.571,0,0.0,100.46,100.46,0,108.907,3,0,0.0,0,258.192,0.0,178.77,1,550.695,8,0,0.0,0,0.0,0.0,100.1,1
1122-1742-1,58,False,Line,2,1121-1301-1,Line,10.724,106.23,4583.8,0,61.53,39,0,0.0,0,0.239,0.0,100.15,1,59.425,2,0,0.0,0,0.0,0.0,100.1,0,0.0,0,0,0.0,0,10.724,0.0,106.23,1,31.421,2,0,0.0,0,0.0,0.0,100.1,1
1122-1742-1,65,False,Line,3,1121-1301-1,Line,194.682,165.01,5388.6,0,557.053,35,1,0.348,0,0.657,100.28,100.41,1,378.928,3,0,0.0,0,0.0,0.0,100.1,0,0.0,0,0,0.0,0,194.682,0.0,165.01,1,378.927,3,0,0.0,0,0.0,0.0,100.1,1
1122-1742-1,72,False,Line,3,1121-1301-1,Line,140.149,148.12,5745.9,0,392.34,32,0,0.0,0,0.501,0.0,100.32,1,276.397,3,0,0.0,0,0.0,0.0,100.1,0,0.0,0,0,0.0,0,140.149,0.0,148.12,1,276.395,3,0,0.0,0,0.0,0.0,100.1,1
1122-1742-1,79,False,Line,1,3581-89516-1,Line,0.463,100.38,2728.8,1,1.467,26,0,0.0,0,0.0,0.0,100.1,1,0.672,1,0,0.0,0,0.0,0.0,100.1,1,0.672,1,0,0.0,0,0.0,0.0,100.1,1,0.672,1,0,0.0,0,0.0,0.0,100.1,1
1122-1742-1,94,False,Line,3,1121-1301-1,Line,93.351,133.57,5470.0,0,264.667,39,0,0.0,0,0.334,0.0,100.21,1,187.999,3,0,0.0,0,0.0,0.0,100.1,0,0.0,0,0,0.0,0,93.351,0.0,133.57,1,187.997,3,0,0.0,0,0.0,0.0,100.1,1
